name,url,pic,tense
4yuva,https://www.4yuva.com,4yuva.png,past
Digital Ocean,https://www.digitalocean.com/?utm_medium=india_community&utm_source=iith,DO.png,past
Amazon,https://www.amazon.in,amazon.png,past
Capgemini,https://www.capgemini.com,capgemini.png,past
FestPav,https://www.festpav.com,festpav.png,past
Ibm,https://www.ibm.com/in-en/,ibm.png,past
Inc42,https://www.inc42.com,inc42.png,past
LovelyChocos,https://www.lovelychocos.com,lovelychocos-logo.png,past
MeraEvents,https://meraevents.com,meraevents.jpg,past
Photriya,https://www.photriya.com/,photriya.png,past
PWC,https://www.pwc.in,pwc.png,past
SheTeam,https://www.hyderabadpolice.gov.in/SheTeams.html,sheteam.jpg,past
StuMagz,https://www.stumagz.com,stumagz.png,past
TechFest,https://www.thetechfest.com,techfest.png,past
.Tech,https://get.tech/domain-offers,tech.png,
